Dia,Mes,Año,Magnitud,Latitud,Longitud,Profundidad,Estado,Clase,Gravedad,Gravedad_Cod
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
13,4,2021,3.9,15.6028,-94.9858,53.7,OAX,Sismos,Media,2
3,11,2017,4.0,15.763,-94.8255,18.1,OAX,Sismos,Alta,0
19,10,2023,4.1,13.9375,-92.9217,10.5,CHIS,Sismos,Alta,0
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
15,5,2020,4.0,15.8867,-98.9373,16.8,GRO,Sismos,Alta,0
28,4,2021,3.9,15.9983,-97.6508,16.2,OAX,Sismos,Media,2
5,4,2018,4.6,16.395,-95.1303,105.1,OAX,Sismos,Muy Alta,3
28,7,2019,3.8,15.3317,-92.8715,102.0,CHIS,Sismos,Media,2
4,2,2020,3.5,15.5177,-95.0242,25.3,OAX,Sismos,Baja,1
9,1,2023,3.5,31.3532,-115.632,15.0,BC,Sismos,Baja,1
4,1,2018,3.5,16.7793,-94.8348,68.5,OAX,Sismos,Baja,1
13,11,2020,3.8,18.1103,-103.407,5.0,MICH,Sismos,Media,2
5,4,2018,4.6,16.395,-95.1303,105.1,OAX,Sismos,Muy Alta,3
3,11,2017,4.0,15.763,-94.8255,18.1,OAX,Sismos,Alta,0
5,4,2018,4.6,16.395,-95.1303,105.1,OAX,Sismos,Muy Alta,3
22,7,2022,4.1,29.4918,-113.706,10.0,BCS,Sismos,Alta,0
3,11,2017,4.0,15.763,-94.8255,18.1,OAX,Sismos,Alta,0
7,1,2020,3.8,16.8393,-100.271,6.5,GRO,Sismos,Media,2
22,7,2019,4.2,15.1042,-93.862,34.8,CHIS,Sismos,Alta,0
5,4,2018,4.6,16.395,-95.1303,105.1,OAX,Sismos,Muy Alta,3
3,1,2021,4.4,14.8405,-92.6722,71.1,CHIS,Sismos,Alta,0
21,2,2022,3.5,18.3422,-102.757,66.2,MICH,Sismos,Baja,1
5,4,2018,4.6,16.395,-95.1303,105.1,OAX,Sismos,Muy Alta,3
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
29,5,2021,3.5,19.659,-104.455,48.5,JAL,Sismos,Baja,1
24,6,2019,3.6,16.2538,-98.097,11.2,OAX,Sismos,Baja,1
11,7,2020,4.5,17.6117,-101.351,25.1,GRO,Sismos,Alta,0
1,12,2022,3.5,30.5022,-116.306,7.3,BC,Sismos,Baja,1
5,4,2018,4.6,16.395,-95.1303,105.1,OAX,Sismos,Muy Alta,3
2,2,2022,4.5,14.2992,-93.9268,19.4,CHIS,Sismos,Alta,0
4,10,2018,3.6,16.1152,-97.191,36.5,OAX,Sismos,Baja,1
30,5,2023,3.6,16.3238,-98.2953,4.8,OAX,Sismos,Baja,1
28,7,2021,3.8,15.7442,-93.7365,80.8,CHIS,Sismos,Media,2
5,4,2018,4.6,16.395,-95.1303,105.1,OAX,Sismos,Muy Alta,3
13,2,2021,3.6,17.2432,-94.5133,149.9,OAX,Sismos,Baja,1
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
14,6,2018,3.5,16.8227,-94.6387,78.9,OAX,Sismos,Baja,1
8,4,2021,3.9,14.0447,-92.1432,13.6,CHIS,Sismos,Media,2
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
7,11,2017,3.7,15.7377,-95.2348,14.5,OAX,Sismos,Media,2
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
3,5,2023,3.7,17.0403,-93.9538,160.7,CHIS,Sismos,Media,2
17,10,2017,4.2,15.973,-95.7537,27.4,OAX,Sismos,Alta,0
30,3,2024,4.1,16.05,-98.89,5.0,GRO,Sismos,Alta,0
5,4,2018,4.6,16.395,-95.1303,105.1,OAX,Sismos,Muy Alta,3
28,10,2023,3.7,17.2143,-96.5992,67.4,OAX,Sismos,Media,2
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
2,7,2023,3.5,14.8067,-92.0102,101.3,CHIS,Sismos,Baja,1
29,10,2021,3.8,15.29,-96.3235,13.0,OAX,Sismos,Media,2
22,7,2022,3.5,15.7335,-93.8042,90.7,CHIS,Sismos,Baja,1
5,4,2018,4.6,16.395,-95.1303,105.1,OAX,Sismos,Muy Alta,3
5,4,2018,4.6,16.395,-95.1303,105.1,OAX,Sismos,Muy Alta,3
29,4,2022,4.2,15.0907,-96.8068,10.2,OAX,Sismos,Alta,0
26,11,2017,3.7,15.7027,-95.149,22.0,OAX,Sismos,Media,2
19,8,2022,3.5,16.9935,-95.849,29.5,OAX,Sismos,Baja,1
10,9,2020,3.8,27.804,-111.875,10.0,BCS,Sismos,Media,2
21,3,2023,3.5,16.7587,-93.7917,183.9,CHIS,Sismos,Baja,1
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
17,9,2017,3.6,15.5613,-95.068,21.9,OAX,Sismos,Baja,1
22,7,2018,3.8,17.086,-100.483,30.7,GRO,Sismos,Media,2
28,6,2021,3.6,17.6187,-95.4242,11.1,VER,Sismos,Baja,1
20,9,2017,3.9,15.0672,-94.3553,31.8,CHIS,Sismos,Media,2
1,2,2020,3.9,16.015,-94.775,67.3,OAX,Sismos,Media,2
28,6,2019,4.2,15.4577,-96.571,16.8,OAX,Sismos,Alta,0
13,2,2019,4.1,15.0033,-95.651,17.8,OAX,Sismos,Alta,0
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
19,12,2021,3.7,16.4958,-95.1205,3.9,OAX,Sismos,Media,2
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
3,9,2022,3.8,16.8802,-95.197,110.6,OAX,Sismos,Media,2
18,3,2024,3.8,18.06,-103.04,16.8,MICH,Sismos,Media,2
26,7,2020,4.2,15.3065,-96.245,21.2,OAX,Sismos,Alta,0
3,3,2019,3.9,16.9965,-93.8875,153.9,CHIS,Sismos,Media,2
19,8,2022,3.5,16.9935,-95.849,29.5,OAX,Sismos,Baja,1
5,4,2018,4.6,16.395,-95.1303,105.1,OAX,Sismos,Muy Alta,3
27,4,2022,3.7,30.3603,-109.548,1.0,SON,Sismos,Media,2
7,2,2020,3.6,18.1675,-101.855,12.0,MICH,Sismos,Baja,1
25,7,2019,3.6,16.5012,-98.482,28.1,GRO,Sismos,Baja,1
18,4,2019,3.7,17.2783,-96.1543,77.9,OAX,Sismos,Media,2
10,12,2020,3.5,19.202,-104.743,22.8,JAL,Sismos,Baja,1
12,12,2022,3.5,15.0683,-92.62,100.0,CHIS,Sismos,Baja,1
4,2,2020,3.5,15.5177,-95.0242,25.3,OAX,Sismos,Baja,1
11,1,2019,3.9,13.645,-92.9398,10.0,CHIS,Sismos,Media,2
6,11,2017,3.8,15.7802,-95.2963,46.4,OAX,Sismos,Media,2
2,2,2020,3.7,19.4772,-102.136,22.4,MICH,Sismos,Media,2
23,5,2020,4.0,17.0237,-95.6842,61.9,OAX,Sismos,Alta,0
29,1,2022,3.7,18.8418,-95.5762,10.0,VER,Sismos,Media,2
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
11,9,2018,3.5,16.1893,-97.5172,16.2,OAX,Sismos,Baja,1
26,1,2018,3.8,15.7257,-92.6892,178.0,CHIS,Sismos,Media,2
22,7,2022,4.1,29.4918,-113.706,10.0,BCS,Sismos,Alta,0
