Magnitud,Latitud,Longitud,Profundidad,Gravedad
4.7,17.2583,-101.078,11.0,Muy Alta
3.9,26.25,-110.66,16.6,Media
3.6,16.2068,-97.6067,10.6,Baja
4.6,16.395,-95.1303,105.1,Muy Alta
3.6,16.9,-94.29,132.4,Baja
3.9,15.4935,-94.8907,17.4,Media
4.7,17.2583,-101.078,11.0,Muy Alta
4.0,15.763,-94.8255,18.1,Alta
3.6,16.3238,-98.2953,4.8,Baja
3.5,18.0308,-100.631,57.9,Baja
3.7,15.7027,-95.149,22.0,Media
4.6,16.395,-95.1303,105.1,Muy Alta
4.0,15.2947,-94.3308,11.2,Alta
3.6,17.1888,-99.8487,38.7,Baja
3.8,18.7697,-104.033,6.2,Media
4.0,15.8867,-98.9373,16.8,Alta
4.4,29.8847,-113.808,10.0,Alta
3.5,19.0837,-102.827,10.0,Baja
4.5,14.2992,-93.9268,19.4,Alta
4.2,15.1042,-93.862,34.8,Alta
3.8,26.12,-99.87,5.0,Media
3.5,19.659,-104.455,48.5,Baja
4.1,18.136,-103.228,6.2,Alta
4.6,16.395,-95.1303,105.1,Muy Alta
3.9,27.8717,-111.958,5.0,Media
4.0,15.6008,-94.9503,16.1,Alta
3.8,16.8422,-94.5748,115.8,Media
4.6,16.395,-95.1303,105.1,Muy Alta
4.0,15.1172,-94.5523,16.3,Alta
3.9,15.7078,-93.9832,78.3,Media
3.8,18.1398,-103.407,5.0,Media
4.7,17.2583,-101.078,11.0,Muy Alta
4.7,17.2583,-101.078,11.0,Muy Alta
4.0,14.4775,-94.4327,16.1,Alta
4.1,15.0033,-95.651,17.8,Alta
3.7,17.2783,-96.1543,77.9,Media
3.6,16.2735,-98.0343,10.5,Baja
4.6,16.395,-95.1303,105.1,Muy Alta
4.7,17.2583,-101.078,11.0,Muy Alta
4.4,14.8405,-92.6722,71.1,Alta
3.8,15.1453,-97.2855,16.1,Media
3.6,15.2972,-94.7005,16.1,Baja
4.0,14.4775,-94.4327,16.1,Alta
4.1,29.4918,-113.706,10.0,Alta
4.0,16.176,-97.5933,25.8,Alta
4.2,15.5648,-94.0322,67.9,Alta
4.1,29.4918,-113.706,10.0,Alta
4.1,16.6038,-94.6862,101.8,Alta
4.0,15.5058,-96.1675,9.6,Alta
4.6,16.395,-95.1303,105.1,Muy Alta
3.7,29.77,-116.55,11.2,Media
4.7,17.2583,-101.078,11.0,Muy Alta
3.7,16.5157,-95.126,4.6,Media
4.6,16.395,-95.1303,105.1,Muy Alta
3.5,16.1893,-97.5172,16.2,Baja
3.9,14.8312,-93.2452,32.7,Media
4.6,16.395,-95.1303,105.1,Muy Alta
4.5,17.6117,-101.351,25.1,Alta
4.1,16.05,-98.89,5.0,Alta
4.1,29.4918,-113.706,10.0,Alta
4.6,16.395,-95.1303,105.1,Muy Alta
3.6,16.5243,-95.1218,3.4,Baja
3.8,19.5557,-105.44,11.0,Media
3.5,18.3422,-102.757,66.2,Baja
4.6,16.395,-95.1303,105.1,Muy Alta
4.2,15.1042,-93.862,34.8,Alta
3.9,15.1318,-93.6212,55.9,Media
4.6,16.395,-95.1303,105.1,Muy Alta
4.1,15.477,-94.8713,30.9,Alta
3.9,16.8492,-94.9207,8.0,Media
3.6,18.4175,-100.922,41.4,Baja
3.5,15.5177,-95.0242,25.3,Baja
3.6,17.1305,-100.994,29.3,Baja
3.5,19.202,-104.743,22.8,Baja
3.7,15.0847,-92.9762,81.0,Media
3.7,19.2917,-97.3215,75.4,Media
3.5,16.15,-97.26,15.0,Baja
4.7,17.2583,-101.078,11.0,Muy Alta
4.2,15.5648,-94.0322,67.9,Alta
4.6,16.395,-95.1303,105.1,Muy Alta
4.1,13.9375,-92.9217,10.5,Alta
4.7,17.2583,-101.078,11.0,Muy Alta
4.1,16.6038,-94.6862,101.8,Alta
4.6,16.395,-95.1303,105.1,Muy Alta
3.9,15.3635,-95.7317,20.0,Media
4.6,16.395,-95.1303,105.1,Muy Alta
3.9,14.5978,-94.2403,24.1,Media
4.0,14.0837,-93.436,6.8,Alta
3.7,16.4355,-97.4482,11.7,Media
4.0,15.3407,-94.5593,25.8,Alta
3.7,15.3915,-94.7985,36.0,Media
3.5,17.636,-94.6627,151.5,Baja
4.7,17.2583,-101.078,11.0,Muy Alta
3.6,16.1152,-97.191,36.5,Baja
4.0,30.8963,-114.131,10.0,Alta
3.6,17.791,-101.402,51.9,Baja
4.0,15.749,-96.2393,37.0,Alta
4.6,16.395,-95.1303,105.1,Muy Alta
4.7,17.2583,-101.078,11.0,Muy Alta
4.7,17.2583,-101.078,11.0,Muy Alta
3.8,18.49,-100.85,48.8,Media
3.7,17.2143,-96.5992,67.4,Media
4.7,17.2583,-101.078,11.0,Muy Alta
4.6,16.395,-95.1303,105.1,Muy Alta
4.0,15.3407,-94.5593,25.8,Alta
3.5,14.65,-93.47,10.0,Baja
4.0,18.1072,-103.258,13.3,Alta
4.7,17.2583,-101.078,11.0,Muy Alta
3.7,15.5637,-93.3848,95.3,Media
3.6,16.4097,-96.5458,49.3,Baja
3.5,16.8878,-95.5232,12.4,Baja
4.1,15.8282,-94.4035,79.8,Alta
4.2,17.2007,-99.862,49.7,Alta
4.7,17.2583,-101.078,11.0,Muy Alta
4.0,17.0237,-95.6842,61.9,Alta
4.7,17.2583,-101.078,11.0,Muy Alta
3.6,16.2538,-98.097,11.2,Baja
4.0,17.5102,-95.6078,35.1,Alta
3.6,16.4097,-96.5458,49.3,Baja
4.6,16.395,-95.1303,105.1,Muy Alta
4.7,17.2583,-101.078,11.0,Muy Alta
3.8,26.12,-110.44,16.1,Media
3.8,16.0,-97.43,17.1,Media
3.6,18.7033,-102.889,51.4,Baja
3.7,30.1283,-113.69,15.0,Media
4.0,14.0788,-93.2897,14.5,Alta
3.5,16.9935,-95.849,29.5,Baja
3.9,16.4927,-99.0902,7.2,Media
4.7,17.2583,-101.078,11.0,Muy Alta
3.7,16.74,-95.13,104.7,Media
4.7,17.2583,-101.078,11.0,Muy Alta
3.7,19.4148,-105.42,5.0,Media
3.6,18.0342,-100.207,59.6,Baja
3.6,17.6187,-95.4242,11.1,Baja
3.5,19.4223,-102.166,18.2,Baja
4.6,16.395,-95.1303,105.1,Muy Alta
4.2,15.0907,-96.8068,10.2,Alta
3.5,15.5177,-95.0242,25.3,Baja
4.2,14.4083,-93.0862,4.9,Alta
4.7,17.2583,-101.078,11.0,Muy Alta
3.8,15.7483,-93.9757,75.4,Media
4.6,16.395,-95.1303,105.1,Muy Alta
3.8,14.9463,-92.8602,97.3,Media
3.6,16.4532,-99.2145,36.6,Baja
3.5,16.2698,-96.3608,43.6,Baja
4.7,17.2583,-101.078,11.0,Muy Alta
4.7,17.2583,-101.078,11.0,Muy Alta
3.5,15.0683,-92.62,100.0,Baja
4.2,14.4083,-93.0862,4.9,Alta
3.6,17.6187,-95.4242,11.1,Baja
3.5,18.053,-99.7873,5.0,Baja
3.7,16.51,-95.2548,2.0,Media
3.8,18.1103,-103.407,5.0,Media
4.1,14.7458,-94.504,10.0,Alta
3.7,17.1763,-94.0192,181.6,Media
3.5,16.7587,-93.7917,183.9,Baja
4.7,17.2583,-101.078,11.0,Muy Alta
3.5,15.7335,-93.8042,90.7,Baja
3.5,15.4803,-94.8627,13.3,Baja
3.5,16.3247,-98.3042,6.2,Baja
4.0,15.8867,-98.9373,16.8,Alta
4.1,15.477,-94.8713,30.9,Alta
3.6,16.5012,-98.482,28.1,Baja
4.7,17.2583,-101.078,11.0,Muy Alta
3.9,16.3727,-94.9063,17.5,Media
3.5,17.18,-95.4,96.2,Baja
4.6,16.395,-95.1303,105.1,Muy Alta
3.6,18.1675,-101.855,12.0,Baja
3.5,31.3532,-115.632,15.0,Baja
4.5,14.2992,-93.9268,19.4,Alta
3.7,15.6865,-95.7078,5.8,Media
4.6,16.395,-95.1303,105.1,Muy Alta
4.0,15.5058,-96.1675,9.6,Alta
4.1,14.7458,-94.504,10.0,Alta
4.7,17.2583,-101.078,11.0,Muy Alta
3.7,17.6637,-95.1622,56.3,Media
3.5,19.0837,-102.827,10.0,Baja
3.7,15.8577,-95.1717,13.7,Media
3.7,15.8417,-94.9757,25.8,Media
4.7,17.2583,-101.078,11.0,Muy Alta
4.6,16.395,-95.1303,105.1,Muy Alta
3.5,18.0308,-100.631,57.9,Baja
3.6,18.6068,-102.075,4.6,Baja
4.7,17.2583,-101.078,11.0,Muy Alta
3.6,16.5243,-95.1218,3.4,Baja
4.1,30.7488,-114.173,10.0,Alta
3.5,16.0835,-98.7377,16.4,Baja
3.5,16.2218,-97.5772,15.8,Baja
4.0,15.3407,-94.5593,25.8,Alta
4.0,16.77,-94.5282,78.0,Alta
4.6,16.395,-95.1303,105.1,Muy Alta
4.7,17.2583,-101.078,11.0,Muy Alta
4.0,15.0523,-95.1097,15.4,Alta
4.4,14.8405,-92.6722,71.1,Alta
4.6,16.395,-95.1303,105.1,Muy Alta
4.0,15.8867,-98.9373,16.8,Alta
3.5,19.3668,-102.19,14.6,Baja
4.2,15.1042,-93.862,34.8,Alta
3.7,16.3142,-98.0358,10.0,Media
3.6,16.5243,-95.1218,3.4,Baja
3.7,15.9532,-93.7405,82.5,Media
3.8,15.7442,-93.7365,80.8,Media
4.0,17.0237,-95.6842,61.9,Alta
3.8,16.974,-100.329,12.2,Media
4.4,29.8847,-113.808,10.0,Alta
4.7,17.2583,-101.078,11.0,Muy Alta
4.5,27.9315,-112.035,7.9,Alta
3.6,14.7872,-92.4725,79.4,Baja
4.7,17.2583,-101.078,11.0,Muy Alta
4.7,17.2583,-101.078,11.0,Muy Alta
4.2,17.2007,-99.862,49.7,Alta
4.0,16.46,-98.8787,6.3,Alta
3.9,19.449,-102.309,16.2,Media
3.7,15.6905,-94.5405,31.3,Media
4.6,16.395,-95.1303,105.1,Muy Alta
3.7,19.904,-105.566,16.0,Media
4.1,18.136,-103.228,6.2,Alta
3.5,16.3247,-98.3042,6.2,Baja
4.7,17.2583,-101.078,11.0,Muy Alta
4.1,16.2773,-98.1175,13.0,Alta
3.7,16.9062,-100.321,4.3,Media
3.5,19.659,-104.455,48.5,Baja
3.5,16.2412,-98.0632,6.8,Baja
4.6,16.395,-95.1303,105.1,Muy Alta
4.0,14.0523,-93.1165,10.0,Alta
4.5,27.9315,-112.035,7.9,Alta
4.1,18.136,-103.228,6.2,Alta
3.6,18.1932,-97.7693,58.1,Baja
3.8,16.9072,-98.8465,35.3,Media
3.6,15.5613,-95.068,21.9,Baja
4.7,17.2583,-101.078,11.0,Muy Alta
3.5,16.15,-97.26,15.0,Baja
3.7,16.403,-94.8958,72.3,Media
3.7,15.66,-96.29,3.0,Media
3.7,17.1193,-92.5085,139.9,Media
4.0,14.0837,-93.436,6.8,Alta
3.6,16.2735,-98.0343,10.5,Baja
4.7,17.2583,-101.078,11.0,Muy Alta
3.6,16.3238,-98.2953,4.8,Baja
3.6,16.9,-94.29,132.4,Baja
3.6,16.2538,-98.097,11.2,Baja
4.7,17.2583,-101.078,11.0,Muy Alta
4.4,14.8405,-92.6722,71.1,Alta
3.8,15.7067,-93.8745,80.2,Media
4.1,17.2298,-94.444,141.0,Alta
4.6,16.395,-95.1303,105.1,Muy Alta
3.8,15.1833,-94.2687,10.0,Media
4.0,18.0955,-103.271,11.3,Alta
3.7,16.9758,-99.8735,5.0,Media
3.8,17.69,-104.62,10.4,Media
4.6,16.395,-95.1303,105.1,Muy Alta
3.9,14.9915,-94.1767,10.8,Media
4.2,15.0907,-96.8068,10.2,Alta
4.0,15.763,-94.8255,18.1,Alta
3.7,16.4958,-95.1205,3.9,Media
4.5,17.6117,-101.351,25.1,Alta
4.0,15.1172,-94.5523,16.3,Alta
4.6,16.395,-95.1303,105.1,Muy Alta
3.6,16.2127,-98.058,4.9,Baja
4.1,14.7458,-94.504,10.0,Alta
4.6,16.395,-95.1303,105.1,Muy Alta
3.7,30.8583,-116.137,7.4,Media
4.2,15.973,-95.7537,27.4,Alta
3.6,15.5613,-95.068,21.9,Baja
4.2,15.3065,-96.245,21.2,Alta
4.7,17.2583,-101.078,11.0,Muy Alta
3.6,16.1152,-97.191,36.5,Baja
3.5,16.9935,-95.849,29.5,Baja
4.7,17.2583,-101.078,11.0,Muy Alta
3.5,15.5177,-95.0242,25.3,Baja
4.7,17.2583,-101.078,11.0,Muy Alta
3.5,15.9057,-97.3083,5.0,Baja
4.7,17.2583,-101.078,11.0,Muy Alta
